iter	Passed	Remaining
922	2925	244
923	2928	240
924	2931	237
925	2934	234
926	2937	231
927	2939	228
928	2942	224
929	2945	221
930	2948	218
931	2950	215
932	2953	212
933	2956	208
934	2959	205
935	2963	202
936	2967	199
937	2971	196
938	2974	193
939	2977	190
940	2980	186
941	2983	183
942	2987	180
943	2990	177
944	2993	174
945	2996	171
946	2998	167
947	3002	164
948	3004	161
949	3007	158
950	3010	155
951	3012	151
952	3015	148
953	3018	145
954	3022	142
955	3025	139
956	3027	136
957	3030	132
958	3033	129
959	3036	126
960	3038	123
961	3041	120
962	3043	116
963	3045	113
964	3048	110
965	3050	107
966	3054	104
967	3057	101
968	3059	97
969	3063	94
970	3066	91
971	3068	88
972	3071	85
973	3074	82
974	3077	78
975	3080	75
976	3083	72
977	3086	69
978	3088	66
979	3092	63
980	3095	59
981	3097	56
982	3100	53
983	3103	50
984	3106	47
985	3108	44
986	3110	40
987	3112	37
988	3116	34
989	3119	31
990	3122	28
991	3125	25
992	3128	22
993	3132	18
994	3134	15
995	3137	12
996	3140	9
997	3142	6
998	3146	3
999	3148	0
